Full_date_start,Year_start,Month_start,Day_start,Full_date_end,Year_end,Month_end,Day_end,Country,Location,Type,Sub_Type,Name,Killed,Cost_dollars,Affected,Id
1932,1932,,,1932,1932,,,Soviet Union,Nationwide,Complex Disasters,,,5000000,,,1932-9001
71931,1931,7,,81931,1931,8,,China P Rep,,Flood,General flood,,3700000,,1400,1931-0007
1928,1928,,,1928,1928,,,China P Rep,"Shensi, Honan, Kansu",Drought,Drought,,3000000,,,1928-9002
1917,1917,,,1917,1917,,,Soviet Union,Nationwide,Epidemic,,,2500000,,,1917-0002
71959,1959,7,,71961,1961,7,,China P Rep,North,Flood,,,2000000,,,1959-0006
1920,1920,,,1920,1920,,,India,,Epidemic,Bacterial Infectious Diseases,Bubonic,2000000,,,1920-0001
1943,1943,,,1943,1943,,,Bangladesh,,Drought,Drought,,1900000,,,1943-9002
1909,1909,,,1909,1909,,,China P Rep,,Epidemic,Bacterial Infectious Diseases,Bubonic,1500000,,,1909-0001
1965,1965,,,1967,1967,,,India,Nationwide except south,Drought,Drought,,1500000,100000000,100,1965-9073
1942,1942,,,1942,1942,,,India,"Calcutta, Bengal region",Drought,Drought,,1500000,,,1942-9003
1907,1907,,,1907,1907,,,India,,Epidemic,Bacterial Infectious Diseases,Bubonic,1300000,,,1907-0001
1900,1900,,,1900,1900,,,India,Bengal,Drought,Drought,,1250000,,,1900-9001
1921,1921,,,1921,1921,,,Soviet Union,"South Ukraine, Volga",Drought,Drought,,1200000,5000000,,1921-9001
1995,1995,,,2002,2002,,,Korea Dem P Rep,,Complex Disasters,Famine,,610000,8000000,,1995-9448
1920,1920,,,1920,1920,,,China P Rep,North,Drought,Drought,,500000,20000000,,1920-9003
71939,1939,7,,71939,1939,7,,China P Rep,Honan province,Flood,General flood,,500000,,,1939-0006
1920,1920,,,1920,1920,,,India,,Epidemic,Bacterial Infectious Diseases,Cholera,500000,,,1920-0002
1926,1926,,,1926,1926,,,India,,Epidemic,Viral Infectious Diseases,,423000,,,1926-0001
1918,1918,,,1918,1918,,,Bangladesh,,Epidemic,Viral Infectious Diseases,Influenza,393000,,,1918-0001
12111970,1970,11,12,12111970,1970,11,12,Bangladesh,"Khulna, Chittagong",Storm,Tropical cyclone,,300000,3648000,86.4,1970-0063
51983,1983,5,,1984,1984,,,Ethiopia,"Wollo, Gondar, Goe, Eritr",Drought,Drought,,300000,7750000,,1983-9060
1924,1924,,,1924,1924,,,India,,Epidemic,Bacterial Infectious Diseases,Cholera,300000,,,1924-0001
27071976,1976,7,27,27071976,1976,7,27,China P Rep,"Tangshan, Pek.,Tientsin",Earthquake (seismic activity),Earthquake (ground shaking),,242000,164000,5600,1976-0050
22051927,1927,5,22,22051927,1927,5,22,China P Rep,Nanchang (Jiangxi),Earthquake (seismic activity),Earthquake (ground shaking),,200000,,,1927-0006
1901,1901,,,1901,1901,,,Uganda,Nationwide,Epidemic,,,200000,,,1901-0001
16121920,1920,12,16,16121920,1920,12,16,China P Rep,Gansu province,Earthquake (seismic activity),Earthquake (ground shaking),,180000,,,1920-0007
26122004,2004,12,26,26122004,2004,12,26,Indonesia,Aceh province (Sumatra),Earthquake (seismic activity),Tsunami,,165708,532898,4451.6,2004-0659
41983,1983,4,,1985,1985,,,Sudan,"Northern Regions, Maban, ",Drought,Drought,,150000,8400000,,1983-9060
